model_id,model_revision,task_id,task_version,view_id,metric,score,status,dataset_revision,result_sha256,result_path
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,quoraretrieval,ndcg_at_10,0.6713280550723375,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,cdb59c3e15acfe40f5c6dd868237710b1d5a2e9507c04203a7ac78ed0957ff8a,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/quoraretrieval.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,quoraretrieval,ndcg_at_10,0.6894917338745702,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,c429b532d6fba7c4abc33904e0db92bf5c92666e52db4bdd6de2366f2e37a104,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/quoraretrieval.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,quoraretrieval,ndcg_at_10,0.7203896001295178,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,1850bdfa452c34a4dcf3e2d2b69f075b9de5dbf15526fee8dd89018f974c6ec4,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/quoraretrieval.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,scidocs,ndcg_at_10,0.1404615566190656,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,8cb9320e096ddcfdbadeb2c8d20399cd5ce197f2a24d0290b018bc4dc6c02057,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/scidocs.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,scidocs,ndcg_at_10,0.1492138488998628,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,1593a400ab4d17229e9a4f3a76e47564c56f8d395d1983fa052488feb1094d6f,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/scidocs.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,scidocs,ndcg_at_10,0.15910122144511119,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,823df00e74a8492d96c6258395781f36f4669be584b7ed704849a9092df3c415,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/scidocs.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,scifact,ndcg_at_10,0.18582691114704664,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,b88ea84e78760b4cd001ba449b4b2a3366afc82b26d92afe0b3b2d82b290eae2,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/scifact.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,scifact,ndcg_at_10,0.19151922021922868,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,727ecf8ad84c21381483059aa522d01a154eb76f29eb3d75942a93f448b3c79f,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/scifact.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,scifact,ndcg_at_10,0.24944271370195573,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,bf4cd5585c93536a371fa2dbd2a9b469ebf5e6d6f6f9b875f1ad2eba26423355,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/scifact.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,touche2020,ndcg_at_10,0.2673139899336223,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,a3d8665e3ed3e21d9c3855db86ca6efa3fd3b3a37cbf78892f8173a993aa7d5e,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/touche2020.json
